GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
libjgroupsig,com.ibm.jgroupsig,Identity,20,39,0,0,5,13,4,6,4,6
libjgroupsig,com.ibm.jgroupsig,PS16,124,245,8,4,32,65,20,19,14,19
libjgroupsig,com.ibm.jgroupsig,BlindSignature,17,57,0,0,4,16,3,6,3,6
libjgroupsig,com.ibm.jgroupsig,GrpKey,17,53,0,0,4,15,3,5,3,5
libjgroupsig,com.ibm.jgroupsig,IndexProof,21,68,0,0,4,19,3,6,3,6
libjgroupsig,com.ibm.jgroupsig,Signature,17,53,0,0,4,15,3,5,3,5
libjgroupsig,com.ibm.jgroupsig,Gml,17,53,0,0,4,15,3,5,3,5
libjgroupsig,com.ibm.jgroupsig,GL19,216,404,23,19,54,97,32,25,14,22
libjgroupsig,com.ibm.jgroupsig,BldKey,24,79,0,0,7,21,3,9,3,9
libjgroupsig,com.ibm.jgroupsig,Proof,14,56,0,0,3,16,2,6,2,6
libjgroupsig,com.ibm.jgroupsig,MgrKey,17,53,0,0,4,15,3,5,3,5
libjgroupsig,com.ibm.jgroupsig,MemKey,17,53,0,0,4,15,3,5,3,5
libjgroupsig,com.ibm.jgroupsig,Util,48,0,0,0,13,0,2,0,2,0
libjgroupsig,com.ibm.jgroupsig,BBS04,129,221,7,3,33,58,20,18,15,18
